Id, Open, Close, High, Low, Volume, Name, Date
187,52.916,51.556,53.736,50.42,105007185,$TSLA,03/28/18-2018
188,51.298,53.226,54.19198,49.642,75853745,$TSLA,03/29/18-2018
189,51.252,50.496,52.06636,48.91802,80569840,$TSLA,04/02/18-2018
190,53.964,53.506,54.67,50.898,94221920,$TSLA,04/03/18-2018
191,50.556,57.388,57.674,50.4,99483730,$TSLA,04/04/18-2018
192,57.868,61.144,61.252,57.64,95605505,$TSLA,04/05/18-2018
193,60.2,59.86,61.856,59.1,67601430,$TSLA,04/06/18-2018
194,60.074,57.932,61.9,57.842,51249025,$TSLA,04/09/18-2018
195,59.794,60.94,61.42,58.736,55121295,$TSLA,04/10/18-2018
196,60.14806,60.186,61.796,59.932,37414725,$TSLA,04/11/18-2018
197,60.464,58.816,60.79,58.736,38043845,$TSLA,04/12/18-2018
198,60.72,60.068,60.78998,59.196,36636115,$TSLA,04/13/18-2018
199,59.8,58.242,59.932,57.802,31692440,$TSLA,04/16/18-2018
200,57.774,57.538,58.434,56.502,35000115,$TSLA,04/17/18-2018
201,58.216,58.67,60.048,57.632,32788500,$TSLA,04/18/18-2018
202,58.216,60.016,60.202,57.71,30452995,$TSLA,04/19/18-2018
203,59.034,58.048,59.996,57.95,28139640,$TSLA,04/20/18-2018
204,58.258,56.674,58.324,56.466,24466890,$TSLA,04/23/18-2018
205,57.0,56.692,57.418,55.692,28426540,$TSLA,04/24/18-2018
206,56.7,56.138,57.032,55.45,20067870,$TSLA,04/25/18-2018
207,55.75,57.096,57.158,55.3,21780065,$TSLA,04/26/18-2018
208,57.074,58.815,58.894,56.766,21823130,$TSLA,04/27/18-2018
209,58.722,58.78,59.746,58.5,21140860,$TSLA,04/30/18-2018
210,58.702,59.984,60.164,58.644,23128015,$TSLA,05/01/18-2018
211,59.714,60.23,61.37,59.55688,44851850,$TSLA,05/02/18-2018
212,55.758,56.89,57.608,55.046,86760650,$TSLA,05/03/18-2018
213,56.6,58.818,59.372,55.904,42846770,$TSLA,05/04/18-2018
214,59.5,60.554,61.19176,59.034,43391120,$TSLA,05/07/18-2018
215,60.15906,60.394,61.55,59.8,29650000,$TSLA,05/08/18-2018
216,60.082,61.37,61.402,60.01,28636825,$TSLA,05/09/18-2018
217,61.49994,61.004,62.598,60.82238,28257805,$TSLA,05/10/18-2018
218,61.54,60.212,61.776,59.816,23398245,$TSLA,05/11/18-2018
219,60.664,58.394,60.988,58.324,36434020,$TSLA,05/14/18-2018
220,57.002,56.836,57.392,56.1,47595865,$TSLA,05/15/18-2018
221,56.766,57.296,57.762,56.312,28370095,$TSLA,05/16/18-2018
222,57.18,56.908,57.83746,56.794,22103060,$TSLA,05/17/18-2018
223,56.93,55.364,56.93,54.8,36259435,$TSLA,05/18/18-2018
224,56.266,56.898,58.298,56.26,45912855,$TSLA,05/21/18-2018
225,57.5524,55.002,57.6,54.6844,44728780,$TSLA,05/22/18-2018
226,55.552,55.814,55.98198,54.8,29925265,$TSLA,05/23/18-2018
227,55.68,55.57,56.222,54.978,20883540,$TSLA,05/24/18-2018
228,55.52504,55.77,55.928,55.122,19375410,$TSLA,05/25/18-2018
229,55.702,56.752,57.3,55.23,28333200,$TSLA,05/29/18-2018
230,56.658,58.344,59.001,56.32,37448430,$TSLA,05/30/18-2018
231,57.442,56.946,58.074,56.586,29598605,$TSLA,05/31/18-2018
232,57.172,58.364,58.39,56.7678,27121930,$TSLA,06/01/18-2018
233,58.868,59.348,59.8,58.7096,23989050,$TSLA,06/04/18-2018
