ticker: ['CSCO', 'V', 'MRK', 'AXP', 'MSFT']
Day,Open,Close,High,Low,Volume,SYM,Date
54,55.75,56.05,56.94,55.59,16125420,$CSCO,03/30/22-2022
55,56.04,55.76,56.88,55.72,27587690,$CSCO,03/31/22-2022
56,56.17,55.66,56.19,54.885,17465147,$CSCO,04/01/22-2022
57,55.46,55.87,56.12,54.99,19645622,$CSCO,04/04/22-2022
58,55.2,54.92,55.59,54.665,16063610,$CSCO,04/05/22-2022
59,54.69,54.37,54.76,53.8432,19644092,$CSCO,04/06/22-2022
60,54.43,54.63,54.85,53.735,15738986,$CSCO,04/07/22-2022
61,54.84,54.28,54.91,54.01,18148381,$CSCO,04/08/22-2022
62,53.92,52.88,53.95,52.785,20992057,$CSCO,04/11/22-2022
63,211.42,214.38,214.945,208.74,8803100,$V,01/11/22-2022
64,214.48,215.71,217.58,213.8101,6923316,$V,01/12/22-2022
65,216.85,215.0,220.48,214.655,8867716,$V,01/13/22-2022
66,214.17,214.67,218.245,213.71,8838059,$V,01/14/22-2022
67,215.88,215.71,216.905,214.33,9099883,$V,01/18/22-2022
68,213.0,214.68,218.23,212.105,9399847,$V,01/19/22-2022
69,214.72,214.35,219.603,213.94,8532719,$V,01/20/22-2022
70,215.46,205.93,215.5998,205.82,16200186,$V,01/21/22-2022
71,202.18,201.85,202.72,195.65,16071162,$V,01/24/22-2022
72,199.62,202.0,205.38,196.99,12125533,$V,01/25/22-2022
73,204.28,205.87,210.86,203.67,10817631,$V,01/26/22-2022
74,209.5,206.15,210.96,205.85,12009810,$V,01/27/22-2022
75,220.64,228.0,228.12,216.1,26425262,$V,01/28/22-2022
76,225.55,226.17,226.38,222.05,12380639,$V,01/31/22-2022
77,226.9,232.36,234.6101,226.42,12247202,$V,02/01/22-2022
78,231.3,235.42,235.85,230.01,10590512,$V,02/02/22-2022
79,233.04,231.54,233.49,230.55,9968000,$V,02/03/22-2022
80,228.5,228.39,230.22,224.95,10848120,$V,02/04/22-2022
81,228.0,227.16,229.92,226.01,5984549,$V,02/07/22-2022
82,226.26,227.94,228.5,224.75,7542245,$V,02/08/22-2022
83,230.13,230.87,233.15,230.12,7772795,$V,02/09/22-2022
84,228.03,225.59,229.95,224.87,6794620,$V,02/10/22-2022
85,227.25,224.69,229.1,223.54,7535206,$V,02/11/22-2022
86,223.29,225.34,227.2601,222.81,8280829,$V,02/14/22-2022
87,227.27,227.82,229.29,224.91,9461976,$V,02/15/22-2022
88,227.5,228.82,229.88,225.595,9561287,$V,02/16/22-2022
89,228.4,224.61,228.81,224.17,8131174,$V,02/17/22-2022
90,224.6,222.69,225.74,221.84,8121159,$V,02/18/22-2022
91,221.02,221.32,224.34,219.92,9928821,$V,02/22/22-2022
92,222.84,215.95,224.28,215.42,8669920,$V,02/23/22-2022
93,203.37,217.3,217.8626,201.45,13463411,$V,02/24/22-2022
94,217.29,219.27,220.68,214.25,8463568,$V,02/25/22-2022
95,216.0,216.12,218.65,213.24,8409382,$V,02/28/22-2022
96,214.48,208.97,215.15,207.28,9317829,$V,03/01/22-2022
97,206.9,208.48,210.54,206.19,8865706,$V,03/02/22-2022
98,210.55,207.23,211.5,206.56,8610028,$V,03/03/22-2022
99,205.0,200.29,206.37,196.86,10914620,$V,03/04/22-2022
100,199.84,190.7,200.18,190.045,13412350,$V,03/07/22-2022
101,190.01,191.71,196.42,186.67,11070893,$V,03/08/22-2022
102,196.5,199.76,200.5,195.24,8457627,$V,03/09/22-2022
103,196.9,197.97,199.94,196.3,7061604,$V,03/10/22-2022
104,200.75,196.71,200.84,196.46,5432099,$V,03/11/22-2022
105,198.42,200.33,204.43,198.16,7994657,$V,03/14/22-2022
106,202.09,206.14,206.41,201.4,8277668,$V,03/15/22-2022
107,210.0,211.87,213.665,207.0,9232292,$V,03/16/22-2022
108,209.93,213.45,213.54,208.72,6668467,$V,03/17/22-2022
109,211.7,219.11,219.26,210.29,14620818,$V,03/18/22-2022
110,216.34,217.04,218.055,214.55,6101456,$V,03/21/22-2022
111,217.84,218.47,219.57,217.175,6259942,$V,03/22/22-2022
112,215.3,214.68,217.285,214.2,6007963,$V,03/23/22-2022
113,214.99,217.31,217.66,214.0,5486991,$V,03/24/22-2022
114,218.42,218.43,218.93,215.6875,5052523,$V,03/25/22-2022
